base,spot_price,perp_price,openInterest,market_cap,fdv
ARB,0.3057,0.3068,109028272.1,1685316254.0,3058821222.0
WLD,0.879,0.8804,46265527.0,1952493795.0,8798574656.0
POL,0.1886,0.18912,92368530.0,1984674084.0,1984674084.0
ONDO,0.7118,0.7141,38138231.0,2255114941.0,7138455783.0
APT,3.142,3.147,23927315.1,2256558365.0,3712594911.0
ETC,15.46,15.491,1802855.61,2381945968.0,2381953331.0
ASTER,1.188,1.2023,109772435.0,2405294078.0,9536775846.0
NEAR,2.142,2.15,30116091.0,2680397530.0,2737869538.0
AAVE,207.71,208.05,270823.4,3171253239.0,3325904935.0
ENA,0.4559,0.4606,402104923.0,3266330978.0,6846457946.0
ZEC,215.56,216.0,348938.449,3518828981.0,3519063883.0
WLFI,0.1305,0.1307,565017696.0,3561265231.0,13064912591.0
UNI,6.112,6.119,13613248.0,3671994168.0,6115066899.0
TAO,397.6,398.99,124366.265,3817253530.0,8352425037.0
DOT,2.917,2.926,18472386.0,4442757664.0,4442757664.0
TON,2.119,2.1263,10964713.6,5341925197.0,10903079921.0
LTC,90.53,90.68,1003275.942,6923786567.0,6923976270.0
HBAR,0.16391,0.16443,171498338.0,6964567405.0,8211920342.0
AVAX,20.08,20.123,5311656.0,8569169636.0,9239014172.0
SUI,2.4316,2.4396,51725114.3,8817529071.0,24319233972.0
BCH,473.6,474.6,260372.642,9454209311.0,9454249314.0
XLM,0.3127,0.31341,118817220.0,10009847224.0,15640449714.0
LINK,16.65,16.666,6073124.15,11613601638.0,16665856540.0
ADA,0.6274,0.629,143260534.0,22958772852.0,28259177987.0
DOGE,0.18622,0.18705,1472560252.0,28233797437.0,28235164456.0
TRX,0.3124,0.31226,410517212.0,29586188967.0,29586432058.0
USDC,0.9995,0.998967,7042803.0,75968664216.0,75969542808.0
SOL,185.31,186.36,7288900.39,101426622695.0,113516094414.0
XRP,2.3416,2.3473,184869595.2,140467547082.0,234175135544.0
BNB,1097.12,1103.87,555353.63,153185133191.0,153185129669.0
BTC,106754.18,106846.8,82279.215,2130327867861.0,2130332569583.0
ETH,3865.47,3870.0,1474911.448,467019749634.0,467019749634.0
FXS,1.339,1.3447,1866936.3,,
HIGH,0.312,0.3139,5132754.8,,28945.0
BEAMX,0.005156,0.005172,770474087.0,,
1000SATS,2.395e-05,2.41e-05,150310000000.0,,50434095.0
RONIN,0.3734,0.3736,4082546.6,,
1MBABYDOGE,0.0010137,0.0010227,2460593320.0,,429036995340928.0
VELODROME,0.0323,0.03253,33302069.0,,
1000CAT,0.00553,0.005565,247699302.0,,
1000CHEEMS,0.001458,0.0014609,12186130662.0,,321067717515.0
BROCCOLI714,0.02465,0.0248,157525177.0,,
SXT,0.0587,0.0586,26226217.0,,293654183.0
NXPC,0.3352,0.3364,6291148.0,,335664715.0
